company,domain,category,rating,reviews,maps_url
Bunnyshell,bunnyshell.com,Companie de software,4.1,9,https://www.google.com/maps/search/?api=1&query=Bunnyshell&query_place_id=ChIJf8CPNA4BskARy8ltMuNWP_k
Serra Software,serrasoftware.ro,Companie de software,5,8,https://www.google.com/maps/search/?api=1&query=Serra%20Software&query_place_id=ChIJoat-Zkj_sUAROSxJ8BdDFWs
IT Teams,it-teams.com,Companie de software,5,7,https://www.google.com/maps/search/?api=1&query=IT%20Teams&query_place_id=ChIJOwRW0nT_sUARJYsFxACIffw
Plant an App Romania,plantanapp.com,Companie de software,4.5,6,https://www.google.com/maps/search/?api=1&query=Plant%20an%20App%20Romania&query_place_id=ChIJ1RicayT5sUARmhapRWO99Mo
Adonis Software,adonissoft.com,Companie de software,5,4,https://www.google.com/maps/search/?api=1&query=Adonis%20Software&query_place_id=ChIJkTyioGr_sUARldG3TtDUW7g
Softlead,softlead.ro,Companie de software,4,4,https://www.google.com/maps/search/?api=1&query=Softlead&query_place_id=ChIJA0XsGdP_sUAR8OI2oC3pRi0
Fabrica de software,tgd.ro,Companie de software,4,4,https://www.google.com/maps/search/?api=1&query=Fabrica%20de%20software&query_place_id=ChIJ6T33wmr8sUARondkvV-ET_Q
PayAi-X,shop.catyai.io,Companie de software,5,4,https://www.google.com/maps/search/?api=1&query=PayAi-X&query_place_id=ChIJJ5rmSPD9sUARyMmjUg6ZEbw
ROMANIAN SOFT COMPANY S.R.L.,rsc.ro,Companie de software,5,2,https://www.google.com/maps/search/?api=1&query=ROMANIAN%20SOFT%20COMPANY%20S.R.L.&query_place_id=ChIJjzGouqX-sUARQLIlcgchfjU
PYRAMID SOFTWARE,pyramid.ro,Companie de software,3,2,https://www.google.com/maps/search/?api=1&query=PYRAMID%20SOFTWARE&query_place_id=ChIJ5R35axn_sUARPbjc2wsgcNk
SoulDay.App,soulday.app,Companie de software,5,2,https://www.google.com/maps/search/?api=1&query=SoulDay.App&query_place_id=ChIJ1TdBjYTxvoURVLQIA5z87Ys
eDDD.ro - Software pentru firme DDD,eddd.ro,Companie de software,5,1,https://www.google.com/maps/search/?api=1&query=eDDD.ro%20-%20Software%20pentru%20firme%20DDD&query_place_id=ChIJ5dbMnr__sUARuJCQe89HWYk
QTeam Software Solutions,qteam.solutions,Companie de software,5,1,https://www.google.com/maps/search/?api=1&query=QTeam%20Software%20Solutions&query_place_id=ChIJoZzV8Lb_sUARLlpjujAF91M
IT Next Software Solution,nextsoftware.ro,Companie de software,5,1,https://www.google.com/maps/search/?api=1&query=IT%20Next%20Software%20Solution&query_place_id=ChIJaSImcvz5sUARxnODwSRDbkM
Whitestone Software,whitestonesoftware.com,Companie de software,,,https://www.google.com/maps/search/?api=1&query=Whitestone%20Software&query_place_id=ChIJO-2H8Xb_sUARWKV5urgH9qY
